,ID,IDstudy,plotID,country,region,climate,bedrock,soil_type,TYPE_CHANGE,CROP_current,CROP_type,current_land_use*,LUC_this_study,previous_land_use*,NUM_DEPTH,N_measured_current.1,temperature_Celsiul,precipitation_mm,Latitud,Longitud,years_since_luc,year_measure,soil_from_cm_current,soil_to_cm_current,depth_midpoint_current,bulk_density_Mg_m3_current,%clay_current,%silt_current,%sand_current,ph_current,SOC_Mg_ha_current,sd_SOC_Mgha_current,soil_from_cm_previous,soil_to_cm_previous,depth_midpoint_previous,Bulkdensity_previous,%clay_previous,%silt_previous,%sand_previous,ph_previous,SOC_Mg_ha_previous,SOC_change,SOC_percentage_change
25,171,10,35,Sri_Lanka,Jaffna,Tropical,,,LUC,Banana,palm,food,YES,secondary_forest,1,18,28.0,1000.0,7.8731,80.77,15.0,2003.0,0.0,30.0,15.0,1.71,,,,8.21,8.11,,0.0,30.0,15.0,1.73,,,,,19.74,11.629999999999999,-58.91590678824722
26,172,11,36,India,Madurai,Tropical,,,LUC,Jatropha,woody,bioenergy,YES,secondary_forest,2,5,29.0,812.0,9.9252,78.119,4.0,2009.0,7.5,22.5,15.0,,,,,,12.2,1.85,7.5,22.5,15.0,,,,,,12.5,0.3000000000000007,-2.4000000000000057
27,174,11,37,Brazil,Belo_Horizonte,Tropical,,,LUC,Jatropha,woody,bioenergy,YES,secondary_forest,2,5,24.0,842.0,-15.1716,-43.8718,2.0,2009.0,7.5,22.5,15.0,,,,,,16.6,2.705,7.5,22.5,15.0,,,,,,33.9,17.299999999999997,-51.03244837758112
28,216,16,49,Venezuela,Orinoco,Tropical,Sediments_Pleistocene,,TEMP,Brachiaria,grass,livestockfood,NO,,1,50,26.199999999999992,1050.0,9.766000000000002,-63.466,,2000.0,0.0,20.0,10.0,,72.0,12.0,16.0,,229.20000000000002,31.100000000000005,0.0,20.0,10.0,,74.0,11.0,15.0,,218.40833333333333,-10.791666666666686,4.941050784081813
29,228,16,50,Venezuela,Orinoco,Tropical,Sediments_Pleistocene,,LUC,Brachiaria,grass,livestockfood,YES,natural_forest,1,50,26.2,1050.0,9.766,-63.466,17.5,2000.0,0.0,20.0,10.0,,72.0,12.0,16.0,,229.20000000000002,31.099999999999998,0.0,20.0,10.0,,85.0,11.0,4.0,,228.85,-0.35000000000002274,0.15293860607385742
30,282,20,64,Ireland,Wexford,Temperate,,,LUC,Miscanthus,grass,bioenergy,YES,annual_crop,1,21,10.0,953.0,52.3369,-6.4633,2.0,2008.0,0.0,30.0,15.0,0.99,3.6,20.7,75.7,6.16,75.12,,0.0,30.0,15.0,,,,,,95.66,20.539999999999992,-21.47187957348943
31,283,20,65,Ireland,Wexford,Temperate,,,LUC,Miscanthus,grass,bioenergy,YES,annual_crop,1,21,10.0,953.0,52.3369,-6.4633,2.0,2008.0,0.0,30.0,15.0,1.03,4.6,21.9,73.5,5.98,74.54,,0.0,30.0,15.0,,,,,,81.94,7.3999999999999915,-9.030998291432745
32,284,20,66,Ireland,Wexford,Temperate,,,LUC,Miscanthus,grass,bioenergy,YES,annual_crop,1,21,10.0,953.0,52.3369,-6.4633,2.0,2008.0,0.0,30.0,15.0,0.98,4.7,24.7,70.6,6.89,78.93,,0.0,30.0,15.0,,,,,,69.27,-9.66000000000001,13.945430922477279
33,285,20,67,Ireland,Wexford,Temperate,,,LUC,Miscanthus,grass,bioenergy,YES,annual_crop,1,21,10.0,953.0,52.3369,-6.4633,2.0,2008.0,0.0,30.0,15.0,1.04,12.2,34.8,53.0,6.39,74.73,,0.0,30.0,15.0,,,,,,69.06,-5.670000000000002,8.210251954821896
34,286,20,68,Ireland,Wexford,Temperate,,,LUC,Miscanthus,grass,bioenergy,YES,annual_crop,1,21,10.0,953.0,52.3369,-6.4633,2.0,2008.0,0.0,30.0,15.0,0.91,11.6,29.9,58.6,6.44,58.9,,0.0,30.0,15.0,,,,,,45.37,-13.530000000000001,29.821467930350455
