,ID,IDstudy,plotID,country,region,climate,bedrock,soil_type,TYPE_CHANGE,CROP_current,CROP_type,current_land_use*,LUC_this_study,previous_land_use*,NUM_DEPTH,N_measured_current.1,temperature_Celsiul,precipitation_mm,Latitud,Longitud,years_since_luc,year_measure,soil_from_cm_current,soil_to_cm_current,depth_midpoint_current,bulk_density_Mg_m3_current,%clay_current,%silt_current,%sand_current,ph_current,SOC_Mg_ha_current,sd_SOC_Mgha_current,soil_from_cm_previous,soil_to_cm_previous,depth_midpoint_previous,Bulkdensity_previous,%clay_previous,%silt_previous,%sand_previous,ph_previous,SOC_Mg_ha_previous,SOC_change,SOC_percentage_change
56,352,27,97,Canada,Boisbriand,Boreal,,Melanic_Brunisol,LUC,Willow,woody,SRC,YES,annual_crop,2,54,6.8,999.6,45.616,-73.833,1.0,2007.0,10.0,30.0,20.0,1.45,,,,,63.5,17.5,10.0,30.0,20.0,1.7000000000000002,,,,,58.5,-5.0,8.547008547008547
57,354,27,98,Canada,Boisbriand,Boreal,,Melanic_Brunisol,LUC,Willow,woody,SRC,YES,annual_crop,2,54,6.8,999.6,45.616,-73.833,2.0,2007.0,10.0,30.0,20.0,1.37,,,,,55.0,12.5,10.0,30.0,20.0,1.5899999999999999,,,,,56.0,1.0,-1.7857142857142856
58,356,27,99,Canada,Boisbriand,Boreal,,Melanic_Brunisol,LUC,Willow,woody,SRC,YES,annual_crop,2,54,6.8,999.6,45.616,-73.833,2.0,2007.0,10.0,30.0,20.0,1.37,,,,,55.0,12.5,10.0,30.0,20.0,1.7000000000000002,,,,,58.5,3.5,-5.982905982905983
59,358,27,100,Canada,Boisbriand,Boreal,,Melanic_Brunisol,TEMP,Willow,woody,SRC,NO,,2,54,6.8,999.6,45.616,-73.833,,2007.0,10.0,30.0,20.0,1.45,,,,,55.0,12.5,10.0,30.0,20.0,1.45,,,,,63.5,8.5,-13.385826771653544
60,360,27,101,Canada,Huntingdon,Boreal,,Melanic_Brunisol,LUC,Willow,woody,SRC,YES,annual_crop,2,30,6.8,999.6,45.1333,-74.133,9.0,2007.0,10.0,30.0,20.0,1.56,,,,,84.0,8.5,10.0,30.0,20.0,1.5550000000000002,,,,,60.0,-24.0,40.0
61,362,27,102,Canada,Huntingdon,Boreal,,Melanic_Brunisol,LUC,Willow,woody,SRC,YES,grassland,2,30,6.8,999.6,45.1333,-74.133,9.0,2007.0,10.0,30.0,20.0,1.56,,,,,84.0,8.5,10.0,30.0,20.0,1.5,,,,,78.5,-5.5,7.006369426751593
62,364,28,103,Germany,Allendorf,Boreal,,Cambisol,LUC,Poplar,woody,SRC,YES,annual_crop,4,4,9.0,630.0,51.066,8.73,4.0,2011.0,4.333333333333333,14.333333333333334,9.333333333333334,1.4333333333333333,18.2,34.4,47.4,,1.4233333333333331,0.2733333333333334,4.333333333333333,14.333333333333334,9.333333333333334,1.5333333333333332,18.2,34.4,47.4,,1.1366666666666667,-0.2866666666666664,25.219941348973585
63,368,28,104,Germany,Allendorf,Boreal,,Cambisol,LUC,Poplar,woody,SRC,YES,annual_crop,4,4,9.0,630.0,51.066,8.73,8.0,2011.0,4.333333333333333,14.333333333333334,9.333333333333334,1.4333333333333333,18.2,34.4,47.4,,1.6333333333333335,0.3666666666666667,4.333333333333333,14.333333333333334,9.333333333333334,1.5333333333333332,18.2,34.4,47.4,,1.4833333333333332,-0.15000000000000036,10.112359550561823
64,372,28,105,Germany,Dornburg,Boreal,,Luvisol,LUC,Poplar,woody,SRC,YES,annual_crop,4,4,8.8,585.0,51.0,11.65,12.0,2011.0,4.333333333333333,14.333333333333334,9.333333333333334,1.3999999999999997,28.0,67.5,4.5,,2.2500000000000004,0.23333333333333336,4.333333333333333,14.333333333333334,9.333333333333334,1.1666666666666667,28.0,67.5,4.5,,1.8666666666666665,-0.38333333333333397,20.53571428571432
65,376,28,106,Germany,Dornburg,Boreal,,Luvisol,LUC,Poplar,woody,SRC,YES,annual_crop,4,4,8.8,585.0,51.0,11.65,16.0,2011.0,4.333333333333333,14.333333333333334,9.333333333333334,1.3999999999999997,28.0,67.5,4.5,,2.2333333333333334,0.15,4.333333333333333,14.333333333333334,9.333333333333334,1.1666666666666667,28.0,67.5,4.5,,1.8499999999999999,-0.3833333333333335,20.720720720720735
66,380,28,107,Germany,Forst,Boreal,,Greysol,LUC,Black_locust,woody,SRC,YES,annual_crop,4,4,8.3,590.0,51.7833,14.616,20.0,2011.0,4.333333333333333,14.333333333333334,9.333333333333334,1.3999999999999997,10.6,32.7,51.79999999999999,,1.7,0.18333333333333332,4.333333333333333,14.333333333333334,9.333333333333334,1.2333333333333334,10.6,32.7,51.79999999999999,,1.55,-0.1499999999999999,9.677419354838705
67,384,28,108,Germany,Forst,Boreal,,Greysol,LUC,Poplar,woody,SRC,YES,annual_crop,4,4,8.3,590.0,51.7833,14.616,24.0,2011.0,4.333333333333333,14.333333333333334,9.333333333333334,1.3999999999999997,10.6,32.7,51.79999999999999,,1.2333333333333334,0.28333333333333327,4.333333333333333,14.333333333333334,9.333333333333334,1.2333333333333334,10.6,32.7,51.79999999999999,,1.29,0.05666666666666664,-4.392764857881136
68,410,32,121,UK,south_of_England,Temperate,,Silt_loam,LUC,Willow,woody,SRC,YES,grassland,2,15,10.0,770.0,50.966,-0.45,3.0,2012.0,0.0,30.0,15.0,,7.38,59.44,33.19,,42.6,1.8,0.0,30.0,15.0,,6.43,69.62,23.94,,61.2,18.6,-30.3921568627451
69,441,36,133,Spain,Murcia_los_Alguaciles,Arid,,Calcisol,LUC,Almond,woody,food,YES,annual_crop,2,3,16.6,330.0,37.866,-1.716,4.0,,0.0,15.0,7.5,1.08,,,,,43.09,,0.0,15.0,7.5,1.07,,,,,28.73,-14.360000000000003,49.982596588931436
70,442,37,134,Spain,Murcia_Cehegin,Arid,,Calcic_Haploxerept,LUC,Almond,woody,food,YES,annual_crop,1,3,16.6,330.0,38.05,-1.716,4.0,,0.0,15.0,7.5,1.09,,,,,42.84,,0.0,15.0,7.5,1.07,,,,,28.73,-14.110000000000003,49.11242603550297
71,446,39,138,Costa_rica,Sarapiqui,Tropical,Volcanic,,LUC,Banana,palm,food,YES,natural_forest,3,10,23.0,4065.0,10.0,-84.0,30.0,,10.0,20.0,15.0,0.7633333333333333,,,,,26.866666666666664,1.5666666666666667,10.0,20.0,15.0,0.7066666666666667,,,,,27.3,0.4333333333333371,-1.5873015873016012
72,449,39,139,Costa_rica,Sarapiqui,Tropical,Volcanic,,LUC,"Palm,Banana,others",palm,food,YES,grassland,3,10,23.0,4065.0,10.0,-84.0,10.0,,10.0,20.0,15.0,0.8266666666666667,,,,,24.599999999999998,1.1333333333333335,10.0,20.0,15.0,0.7966666666666667,,,,,29.96666666666667,5.366666666666671,-17.908787541713025
73,470,41,149,Ghana,Sefwi_Wiawso,Tropical,,orchosol-oxysol,LUC,Cocoa,woody,food,YES,natural_forest,1,5,26.0,1054.5,6.2,-2.483,2.0,,0.0,15.0,7.5,1.0,5.9,12.0,64.5,5.9,22.6,1.13,0.0,15.0,7.5,,,,,,27.0,4.399999999999999,-16.29629629629629
74,471,41,150,Ghana,Sefwi_Wiawso,Tropical,,orchosol-oxysol,LUC,Cocoa,woody,food,YES,natural_forest,1,5,26.0,1054.5,6.2,-2.483,15.0,,0.0,15.0,7.5,1.0,5.4,12.0,44.5,5.4,17.6,1.4,0.0,15.0,7.5,,,,,,27.0,9.399999999999999,-34.81481481481481
75,472,41,151,Ghana,Sefwi_Wiawso,Tropical,,orchosol-oxysol,LUC,Cocoa,woody,food,YES,natural_forest,1,5,26.0,1054.5,6.2,-2.483,,,0.0,15.0,7.5,0.9,5.3,11.5,64.5,5.3,18.2,1.08,0.0,15.0,7.5,,,,,,22.400000000000002,4.200000000000003,-18.75000000000001
76,477,43,154,Indonesia,Central_Sulawesi,Tropical,,Cambisol,LUC,Cocoa,woody,food,YES,natural_forest,1,4,23.0,2200.0,-1.3,120.0,10.0,,0.0,20.0,10.0,1.4,,,,4.1,3.37,,0.0,20.0,10.0,1.1,,,,3.8,5.1,1.7299999999999995,-33.921568627450974
77,478,43,155,Indonesia,Central_Sulawesi,Tropical,,Cambisol,LUC,Cocoa,woody,food,YES,natural_forest,1,4,23.0,2200.0,-1.3,120.0,10.0,,0.0,20.0,10.0,1.2,,,,3.8,4.39,,0.0,20.0,10.0,1.1,,,,3.8,5.1,0.71,-13.92156862745098
78,528,48,171,Brazil,Bahia,Tropical,,Oxisol,LUC,Cocoa,woody,food,YES,natural_forest,4,6,26.0,1500.0,-14.0,-39.2,30.0,,5.0,20.0,12.5,0.75,,,,,39.0,5.0,5.0,20.0,12.5,0.68,,,,,30.5,-8.5,27.86885245901639
79,532,48,172,Brazil,Bahia,Tropical,,Oxisol,LUC,Cocoa,woody,food,YES,natural_forest,4,6,26.0,1500.0,-14.0,-39.2,30.0,,5.0,20.0,12.5,1.2,,,,,54.0,10.0,5.0,20.0,12.5,0.68,,,,,30.5,-23.5,77.04918032786885
80,542,49,175,Spain,Jaen_Barranco_del_atanor,Mediterranean,,Haplic_Regosol,LUC,Olive,woody,food,YES,natural_forest,1,1,17.3,470.0,37.77956,-3.3415,16.0,,0.0,24.0,12.0,1.36,40.0,45.0,15.0,8.2,39.7,,0.0,24.0,12.0,,,,,,20.89,-18.810000000000002,90.0430828147439
81,543,49,176,Spain,Jaen_Barranco_del_atanor,Mediterranean,,Cutanic_Luvisols,LUC,Olive,woody,food,YES,natural_forest,1,1,17.3,470.0,37.77956,-3.3415,16.0,,0.0,24.0,12.0,1.35,55.0,30.0,15.0,8.0,79.21,,0.0,24.0,12.0,,,,,,51.5,-27.709999999999994,53.80582524271843
82,550,52,183,Italy,Matera_Metapontino,Mediterranean,,Sandy_clay_loam,LUC,Almond,woody,food,YES,fallow,1,1,16.6,462.0,40.3833,16.766,0.6,,0.0,15.0,7.5,1.12,,,,8.4,12.28,,0.0,15.0,7.5,1.3,,,,,14.31,2.030000000000001,-14.18588399720476
83,551,52,184,Italy,Matera_Metapontino,Mediterranean,,Sandy_clay_loam,LUC,Almond,woody,food,YES,fallow,1,1,16.6,462.0,40.3833,16.766,0.6,,0.0,15.0,7.5,1.14,,,,8.4,13.73,,0.0,15.0,7.5,1.22,,,,,15.12,1.3899999999999988,-9.193121693121684
84,552,52,185,Italy,Matera_Metapontino,Mediterranean,,Sandy_clay_loam,LUC,Almond,woody,food,YES,fallow,1,1,16.6,462.0,40.3833,16.766,0.6,,0.0,15.0,7.5,1.17,,,,8.4,13.73,,0.0,15.0,7.5,1.29,,,,,15.2,1.4699999999999989,-9.67105263157894
85,553,52,186,Italy,Matera_Metapontino,Mediterranean,,Sandy_clay_loam,LUC,Almond,woody,food,YES,fallow,1,1,16.6,462.0,40.3833,16.766,0.6,,0.0,15.0,7.5,1.12,,,,8.4,12.68,,0.0,15.0,7.5,1.3,,,,,14.31,1.6300000000000008,-11.39063591893781
